BookID,RecommendedBookID,similarity
11,11,1
11,5,0.986959
11,67,0.984722
11,38,0.97322
11,40,0.971555
11,33,0.964657
11,144,0.963451
11,169,0.95723
11,19,0.956792
11,51,0.955528
10,10,1
10,141,0.997609
10,32,0.996743
10,15,0.996735
10,56,0.995191
10,46,0.994972
10,45,0.994462
10,37,0.994412
10,44,0.993959
10,30,0.993534
36,36,1
36,28,0.998494
36,6,0.99795
36,57,0.997841
36,101,0.997673
36,156,0.997543
36,58,0.996487
36,218,0.996408
36,82,0.995816
36,115,0.995617
119,119,1
119,299,0.991867
119,240,0.984222
119,220,0.978678
119,173,0.976353
119,106,0.974384
119,107,0.973539
119,72,0.973454
119,456,0.972541
119,136,0.971336
13,42,0.998654
13,9,0.998643
13,7,0.998276
13,47,0.998093
13,3,0.997512
13,12,0.997296
13,14,0.997193
13,4,0.996513
13,18,0.996448
2002,2002,1
2002,1687,0.9938
2002,2233,0.989853
2002,3256,0.987781
2002,2537,0.987609
2002,2898,0.985544
2002,3372,0.983637
2002,2036,0.98344
2002,2998,0.983135
2002,1523,0.98115
67,5,0.990758
67,11,0.984722
67,105,0.977684
67,100,0.975798
67,184,0.973196
67,33,0.971619
67,29,0.968806
67,38,0.967266
67,237,0.965086
378,378,1
378,341,0.970141
378,462,0.964214
378,553,0.952983
378,138,0.951829
378,104,0.945663
378,243,0.942717
378,472,0.941135
378,98,0.936148
378,439,0.936104
98,98,1
98,95,0.997381
98,711,0.956957
98,553,0.94811
98,863,0.947444
98,104,0.947043
98,462,0.93728
98,378,0.936148
98,1025,0.933194
98,155,0.931485
5191,5191,1
5191,3540,0.989906
5191,3242,0.989604
5191,5316,0.973595
5191,5309,0.970843
5191,2692,0.967099
5191,2240,0.966283
5191,4180,0.96522
5191,5331,0.964278
5191,5590,0.962541
231,231,1
231,348,0.97065
231,552,0.963064
231,692,0.963037
231,659,0.961894
231,555,0.958217
231,487,0.95412
231,304,0.953646
231,574,0.952978
231,242,0.952224
